species,name,family,habitat,length_cm,length_type,trophic_level,status,region,source,type,indicator,schooling_behaviour, mobility,position,activity_patterns
Valenciennea bella,Bella goby,Gobiidae,demersal,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea helsdingenii,Twostripe goby,Gobiidae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea immaculata,Red-lined sleeper,Gobiidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea limicola,Mud goby,Gobiidae,demersal,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea longipinnis,Long-finned goby,Gobiidae,reef-associated,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea muralis,Mural goby,Gobiidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea parva,Parva goby,Gobiidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea puellaris,Maiden goby,Gobiidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea randalli,Greenband goby,Gobiidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea sexguttata,Sixspot goby,Gobiidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea strigata,Blueband goby,Gobiidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Valenciennea wardii,Ward's sleeper,Gobiidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Vanderhorstia ambanoro,Ambanoro prawn-goby,Gobiidae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Vanderhorstia mertensi,Mertens' prawn-goby,Gobiidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Wuhanlinigobius polylepis,,Gobiidae,demersal,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Yongeichthys criniger,,Gobiidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gonorynchus abbreviatus,,Gonorynchidae,demersal,,,2.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cyclothone acclinidens,Benttooth bristlemouth,Gonostomatidae,bathypelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cyclothone alba,Bristlemouth,Gonostomatidae,bathypelagic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cyclothone atraria,Deep-water bristlemouth,Gonostomatidae,bathypelagic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cyclothone obscura,Hidden bristlemouth,Gonostomatidae,bathypelagic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cyclothone pallida,Tan bristlemouth,Gonostomatidae,bathypelagic,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cyclothone pseudopallida,Slender bristlemouth,Gonostomatidae,bathypelagic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Diplophos taenia,Pacific portholefish,Gonostomatidae,bathypelagic,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Diplophos vicinia,Neighbor portholefish,Gonostomatidae,pelagic-oceanic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gonostoma atlanticum,Atlantic fangjaw,Gonostomatidae,bathypelagic,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sigmops elongatus,Elongated bristlemouth fish,Gonostomatidae,bathypelagic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sigmops gracilis,Slender fangjaw,Gonostomatidae,bathypelagic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Triplophos hemingi,,Gonostomatidae,bathypelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Macrurocyttus acanthopodus,Dwarf dory,Grammicolepididae,bathydemersal,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Xenolepidichthys dalgleishi,Spotted tinselfish,Grammicolepididae,benthopelagic,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Aporops bilinearis,Blotched podge,Grammistidae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Grammistes sexlineatus,Goldenstriped soapfish,Grammistidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pogonoperca punctata,,Grammistidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Pseudogramma polyacantha,Honeycomb podge,Grammistidae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gymnura bimaculata,Twin-spot butterfly ray,Gymnuridae,demersal,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gymnura japonica,Japanese butterflyray,Gymnuridae,demersal,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gymnura poecilura,Long-tailed butterfly ray,Gymnuridae,demersal,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gymnura zonura,Zonetail butterfly ray,Gymnuridae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Diagramma pictum,Painted sweetlips,Haemulidae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Parapristipoma trilineatum,Chicken grunt,Haemulidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus albovittatus,Two-striped sweetlips,Haemulidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus chaetodonoides,Harlequin sweetlips,Haemulidae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus chrysotaenia,Yellow-striped sweetlips,Haemulidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus cinctus,Crescent sweetlips,Haemulidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus diagrammus,Striped sweetlips,Haemulidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus flavomaculatus,Lemonfish,Haemulidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus gibbosus,Harry hotlips,Haemulidae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus lessonii,Lesson's thicklip,Haemulidae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus lineatus,Yellowbanded sweetlips,Haemulidae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus multivittatus,Many-lined sweetlips,Haemulidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus pictus,Trout sweetlips,Haemulidae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus picus,Painted sweetlip,Haemulidae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus polytaenia,Ribboned sweetlips,Haemulidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus schotaf,Minstrel sweetlips,Haemulidae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Plectorhinchus vittatus,Indian Ocean oriental sweetlips,Haemulidae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys argenteus,Silver grunt,Haemulidae,demersal,,,3.5,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys argyreus,Bluecheek silver grunt,Haemulidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys auritus,Longhead grunt,Haemulidae,benthopelagic,,,3.5,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys furcatus,Banded grunter,Haemulidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys kaakan,Javelin grunter,Haemulidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys maculatus,Saddle grunt,Haemulidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys quadrilineatus,Yellow-lined grunter,Haemulidae,pelagic-neritic,,,3.3,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys trifasciatus,Black-ear javelin,Haemulidae,benthopelagic,,,3.4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Pomadasys unimaculatus,Red patched grunter,Haemulidae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Halosaurus ovenii,,Halosauridae,bathydemersal,,,3.5,questionable,South China Sea,Fishbase.se,fish,FALSE,,,,
Halosaurus sinensis,,Halosauridae,bathypelagic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Acanthaphritis barbata,,Hemerocoetidae,demersal,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Acanthaphritis grandisquamis,,Hemerocoetidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Acanthaphritis unoorum,,Hemerocoetidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Matsubaraea fusiformis,,Hemerocoetidae,demersal,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chaenogaleus macrostoma,Hooktooth shark,Hemigaleidae,demersal,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemigaleus microstoma,Sicklefin weasel shark,Hemigaleidae,demersal,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemipristis elongata,Snaggletooth shark,Hemigaleidae,demersal,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Paragaleus tengi,Straight-tooth weasel shark,Hemigaleidae,demersal,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Euleptorhamphus viridis,Ribbon halfbeak,Hemiramphidae,pelagic-oceanic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemiramphus archipelagicus,Jumping halfbeak,Hemiramphidae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemiramphus convexus,Halfbeak,Hemiramphidae,pelagic-neritic,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemiramphus far,Black-barred halfbeak,Hemiramphidae,reef-associated,,,2.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemiramphus lutkei,Lutke's halfbeak,Hemiramphidae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hemiramphus marginatus,Yellowtip halfbeak,Hemiramphidae,pelagic-neritic,,,3.4,questionable,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus affinis,Tropical halfbeak,Hemiramphidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus balinensis,Balinese garfish,Hemiramphidae,reef-associated,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus dussumieri,Dussumier's halfbeak,Hemiramphidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus gernaerti,,Hemiramphidae,pelagic-neritic,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus intermedius,Asian pencil halfbeak,Hemiramphidae,pelagic-neritic,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus limbatus,Congaturi halfbeak,Hemiramphidae,pelagic-neritic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus melanopterus,,Hemiramphidae,pelagic-neritic,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus neglectus,,Hemiramphidae,pelagic-neritic,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus paucirastris,,Hemiramphidae,pelagic-neritic,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hyporhamphus quoyi,Quoy's garfish,Hemiramphidae,pelagic-neritic,,,3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Melapedalion breve,Philippine snubnose halfbeak,Hemiramphidae,pelagic-neritic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Oxyporhamphus micropterus,Bigwing halfbeak,Hemiramphidae,pelagic-oceanic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhynchorhamphus georgii,Long billed half beak,Hemiramphidae,pelagic-neritic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Rhynchorhamphus naga,,Hemiramphidae,pelagic-neritic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chiloscyllium griseum,Grey bambooshark,Hemiscylliidae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chiloscyllium hasseltii,Hasselt's bambooshark,Hemiscylliidae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chiloscyllium indicum,Slender bambooshark,Hemiscylliidae,demersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chiloscyllium plagiosum,Whitespotted bambooshark,Hemiscylliidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Chiloscyllium punctatum,Brownbanded bambooshark,Hemiscylliidae,reef-associated,,,4.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Heterodontus japonicus,Japanese bullhead shark,Heterodontidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Heterodontus zebra,Zebra bullhead shark,Heterodontidae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Heptranchias perlo,Sharpnose sevengill shark,Hexanchidae,bathydemersal,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hexanchus griseus,Bluntnose sixgill shark,Hexanchidae,bathydemersal,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hexanchus nakamurai,Bigeyed sixgill shark,Hexanchidae,bathydemersal,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Notorynchus cepedianus,Broadnose sevengill shark,Hexanchidae,demersal,,,4.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hexatrygon bickelli,Sixgill stingray,Hexatrygonidae,bathydemersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Himantolophus danae,,Himantolophidae,bathypelagic,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Himantolophus groenlandicus,Atlantic footballfish,Himantolophidae,bathypelagic,,,4.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hispidoberyx ambagiosus,,Hispidoberycidae,benthopelagic,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Histiophryne cryptacanthus,Cryptic anglerfish,Histiophrynidae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Lophiocharon trisignatus,Three-spot frogfish,Histiophrynidae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis adusta,Shadowfin soldierfish,Holocentridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis astakhovi,,Holocentridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis berndti,Blotcheye soldierfish,Holocentridae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis botche,Blacktip soldierfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis chryseres,Yellowfin soldierfish,Holocentridae,benthopelagic,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis formosa,,Holocentridae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis hexagona,Doubletooth soldierfish,Holocentridae,reef-associated,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis kuntee,Shoulderbar soldierfish,Holocentridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis murdjan,Pinecone soldierfish,Holocentridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis pralinia,Scarlet soldierfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis robusta,Robust soldierfish,Holocentridae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis violacea,Lattice soldierfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Myripristis vittata,Whitetip soldierfish,Holocentridae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Neoniphon argenteus,Clearfin squirrelfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Neoniphon aurolineatus,Yellowstriped squirrelfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Neoniphon opercularis,Blackfin squirrelfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Neoniphon sammara,Sammara squirrelfish,Holocentridae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Ostichthys japonicus,Japanese soldierfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Ostichthys kaianus,Deepwater soldierfish,Holocentridae,bathydemersal,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Ostichthys sheni,Shen’s soldierfish,Holocentridae,demersal,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Plectrypops lima,Shy soldier,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron caudimaculatum,Silverspot squirrelfish,Holocentridae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron cornutum,Threespot squirrelfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron diadema,Crown squirrelfish,Holocentridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron ensifer,Yellow-striped squirrelfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron ittodai,Samurai squirrelfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron melanospilos,Blackblotch squirrelfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron microstoma,Smallmouth squirrelfish,Holocentridae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron praslin,Dark-striped squirrelfish,Holocentridae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron punctatissimum,Speckled squirrelfish,Holocentridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron rubrum,Redcoat,Holocentridae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron spiniferum,Sabre squirrelfish,Holocentridae,reef-associated,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron spinosissimum,North Pacific squirrelfish,Holocentridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron tiere,Blue lined squirrelfish,Holocentridae,reef-associated,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron tiereoides,Pink squirrelfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Sargocentron violaceum,Violet squirrelfish,Holocentridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hoplichthys fasciatus,,Hoplichthyidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hoplichthys filamentosus,Longray ghost flathead,Hoplichthyidae,demersal,,,3.8,questionable,South China Sea,Fishbase.se,fish,FALSE,,,,
Hoplichthys gilberti,,Hoplichthyidae,demersal,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hoplichthys langsdorfii,,Hoplichthyidae,demersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hoplichthys pectoralis,,Hoplichthyidae,demersal,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Hoplichthys regani,Ghost flathead,Hoplichthyidae,bathydemersal,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bathysphyraenops simplex,,Howellidae,demersal,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bathypterois atricolor,Attenuated spider fish,Ipnopidae,bathydemersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bathypterois guentheri,Tribute spiderfish,Ipnopidae,bathydemersal,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Ipnops agassizii,Grideye fish,Ipnopidae,bathydemersal,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Iso flosmaris,,Isonidae,demersal,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Iso rhothophilus,Flower of the wave,Isonidae,pelagic-neritic,,,3.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Istiompax indica,Black marlin,Istiophoridae,pelagic-oceanic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kajikia audax,Striped marlin,Istiophoridae,pelagic-oceanic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Makaira mazara,Indo-Pacific blue marlin,Istiophoridae,pelagic-oceanic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Tetrapturus angustirostris,Shortbill spearfish,Istiophoridae,pelagic-oceanic,,,4.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Gobitrichinotus radiocularis,,Kraemeriidae,demersal,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kuhlia marginata,Dark-margined flagtail,Kuhliidae,demersal,,,3.4,questionable,South China Sea,Fishbase.se,fish,FALSE,,,,
Kuhlia mugil,Barred flagtail,Kuhliidae,reef-associated,,,3.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kuhlia rupestris,Rock flagtail,Kuhliidae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kurtus indicus,Indian hump head,Kurtidae,benthopelagic,,,3.6,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kyphosus bigibbus,Brown chub,Kyphosidae,reef-associated,,,2.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kyphosus cinerascens,Blue sea chub,Kyphosidae,reef-associated,,,2.8,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Kyphosus vaigiensis,Brassy chub,Kyphosidae,reef-associated,,,2.1,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Anampses caeruleopunctatus,Bluespotted wrasse,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Anampses geographicus,Geographic wrasse,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Anampses melanurus,White-spotted wrasse,Labridae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Anampses meleagrides,Spotted wrasse,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Anampses neoguinaicus,New Guinea wrasse,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Anampses twistii,Yellowbreasted wrasse,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus anthioides,Lyretail hogfish,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus axillaris,Axilspot hogfish,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus bilunulatus,Tarry hogfish,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus bimaculatus,Twospot hogfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus dictynna,Redfin hogfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus leucosticticus,Lined hogfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus loxozonus,Blackfin hogfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus macrourus,Black-banded hogfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus mesothorax,Splitlevel hogfish,Labridae,reef-associated,,,3.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus oxycephalus,,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus perditio,Golden-spot hogfish,Labridae,reef-associated,,,3.7,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Bodianus trilineatus,Fourline hogfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cheilinus chlorourus,Floral wrasse,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cheilinus fasciatus,Redbreasted wrasse,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cheilinus oxycephalus,Snooty wrasse,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cheilinus trilobatus,Tripletail wrasse,Labridae,reef-associated,,,3.9,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Cheilinus undulatus,Humphead wrasse,Labridae,reef-associated,,,4,native,South China Sea,Fishbase.se,fish,TRUE,,,,
Cheilio inermis,Cigar wrasse,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon anchorago,Orange-dotted tuskfish,Labridae,reef-associated,,,4.2,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon azurio,Azurio tuskfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon fasciatus,Harlequin tuskfish,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon gymnogenys,,Labridae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon jordani,Jordan's tuskfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon melanostigma,,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon oligacanthus,White-patch tuskfish,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon robustus,Robust tuskfish,Labridae,reef-associated,,,3.3,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon schoenleinii,Blackspot tuskfish,Labridae,reef-associated,,,3.4,native,South China Sea,Fishbase.se,fish,FALSE,,,,
Choerodon zamboangae,Purple eyebrowed tuskfish,Labridae,reef-associated,,,3.5,native,South China Sea,Fishbase.se,fish,FALSE,,,,
